id,track_name,album_name,artist,genre,popularity,duration_ms,acousticness,explicit,danceability,energy,key,loudness,mode,speechiness,instrumentalness,valence,tempo,time_signature,target
4,Daniel,Two Suns,Bat For Lashes,Etherpop,51.0,251120.0,0.0118,,0.593,0.658,8.0,-8.393,,0.0364,0.0204,0.421,135.051,4.0,0
58,Rue The Whirl,Music Has The Right To Children,Boards of Canada,Hauntology,38.0,399493.0,0.238,,0.853,0.318,1.0,-11.538,1.0,0.227,0.828,0.416,93.099,4.0,0
77,An Eagle In Your Mind,Music Has The Right To Children,Boards of Canada,Hauntology,41.0,385520.0,0.371,,0.825,0.467,6.0,-14.053,1.0,0.0752,0.847,0.252,96.014,4.0,0
94,Twoism,Twoism,Boards of Canada,Hauntology,30.0,365680.0,0.502,,0.672,0.492,10.0,-13.902,,0.0324,0.934,0.0725,95.083,4.0,0
115,Turquoise Hexagon Sun,Music Has The Right To Children,Boards of Canada,Hauntology,42.0,307880.0,0.184,,0.567,0.754,6.0,-13.227,1.0,0.0719,0.887,0.0445,188.011,4.0,0
121,Smokes Quantity,Music Has The Right To Children,Boards of Canada,Hauntology,35.0,187320.0,0.179,,0.816,0.363,8.0,-14.152,,0.0289,0.822,0.364,99.065,4.0,0
124,Oirectine,Twoism,Boards of Canada,Hauntology,30.0,311133.0,0.225,,0.827,0.47,1.0,-11.804,1.0,0.0648,0.951,0.174,106.1,4.0,0
131,Pete Standing Alone,Music Has The Right To Children,Boards of Canada,Hauntology,36.0,367720.0,0.0429,,0.778,0.562,1.0,-14.082,1.0,0.0897,0.895,0.414,110.36,4.0,0
134,Iced Cooly,Twoism,Boards of Canada,Hauntology,31.0,142106.0,0.751,,0.711,0.677,8.0,-16.159,1.0,0.295,0.546,0.247,92.095,4.0,0
264,Cut Your Hair,"Crooked Rain, Crooked Rain",Pavement,Chamber Pop,54.0,186733.0,0.00596,,0.472,0.735,4.0,-9.822,,0.0305,0.00124,0.643,110.809,4.0,0
682,Piel Canela,Canta En Espa̱ol Con Los Panchos,Eydie Gorm̩,Choro,61.0,137560.0,0.838,,0.796,0.443,4.0,-11.033,,0.0365,,0.817,118.588,4.0,0
682,Piel Canela,Canta En Espa̱ol Con Los Panchos,Eydie Gorm̩,Choro,61.0,137560.0,0.838,,0.796,0.443,4.0,-11.033,,0.0365,,0.817,118.588,4.0,0
682,Piel Canela,Canta En Espa̱ol Con Los Panchos,Eydie Gorm̩,Choro,61.0,137560.0,0.838,,0.796,0.443,4.0,-11.033,,0.0365,,0.817,118.588,4.0,0
703,Brujeria,Aqui No Se Sienta Nadie!,El Gran Combo De Puerto Rico,Choro,66.0,205813.0,0.565,,0.795,0.623,7.0,-5.375,1.0,0.0461,1.09e-05,0.96,93.03,4.0,0
